,amount,avgCost,importPrice,serialNum
0,45,4.3,193.5,6902538004045
1,30,4.3,129.0,6902538004052
2,30,4.3,129.0,6902538005141
3,30,4.3,129.0,6902538008425
4,-3,4.8,-14.4,4904910060320
5,30,4.8,144.0,4904910060344
6,-1,7.0,-7.0,6947954100780
7,-1,10.0,-10.0,6971284201206
8,-1,10.0,-10.0,6971284201244
9,30,4.8,144.0,6972863230105
10,30,4.7,141.0,6972863230259
11,54,14.8,799.2,6935498309561
12,-1,4.6,-4.6,6926410337250
13,191,4.0,764.0,6954767422688
14,-241,2.1,-506.1,6954767430386
15,30,4.1,123.0,6921168500956
16,30,4.1,123.0,6921168500970
17,455,1.3,591.5,6921168509256
18,75,4.0,300.0,6921168558018
19,225,4.0,900.0,6921168558049
20,36,7.5,270.0,6921168559176
21,24,3.5,84.0,6926892565080
22,24,3.5,84.0,6926892566087
23,24,3.5,84.0,6926892567084
24,360,2.2,792.0,6903004568511
25,18,3.8,68.4,6921168593552
26,16,3.8,60.8,6921168593576
27,-10,6.6,-66.0,6921168593804
28,120,3.0,360.0,6921168594993
29,-10,6.6,-66.0,6921168595099
30,60,2.3,138.0,6921168595143
31,168,2.3,386.4,6921168595167
32,-120,2.3,-276.0,6921168598038
33,-1,5.0,-5.0,6974106601680
34,48,2.3,110.4,6938309700526
35,72,2.3,165.6,6938309700533
36,47,3.5,164.5,6974800840286
37,48,3.5,168.0,6974800840330
38,24,12.3,295.2,6901347880390
39,192,2.1,403.2,6936571950052
